# Coding: utf-8,
# File format version: 2,
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).,
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.,
#           Returns the global,beam and diffuse irradiations integrated over a selected time step
#           for a selected location (geostationary satellite coverage) and a selected period.,
# The research leading to these results has received funding from the European Union within the Copernicus programme.,
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany),
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service,
# Date begin (ISO 8601): 2024-08-22T00:00:00.0,
# Date end (ISO 8601): 2025-12-23T00:00:00.0,
# Latitude (positive North,ISO 19115): 53.6985
# Longitude (positive East,ISO 19115): -6.2080
# Altitude (m): 0.00,
# Time reference: Universal time (UT),
#,
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11),
# CF Standard Names registry of ObservablePropertyValue,
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html,
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6,
# ObservableProperty,
"#     basePhenomenon:""integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time""",
"#     uom:""Wh m-2"" [unit]",
# StatisticalMeasure,
"#     statisticalFunction: ""sum""",
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s,
# noValue: nan,
# File generated on: 2025-12-24,
#,
# Columns:,
# 1. Observation period (ISO 8601),
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2),
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2),
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2),
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2),
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2),
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2),
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2),
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2),
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2),
#11. Reliability. Proportion of reliable data in the summarization (0-1),
#,
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability,
2025-06-25T04:00:00.0/2025-06-25T05:00:00.0;71.3753;26.5804;9.2274;17.3530;112.3114;3.4383;0.0000;3.4383;0.0000;0.6250,
2025-06-25T05:00:00.0/2025-06-25T06:00:00.0;244.0863;130.3238;75.9421;54.3817;395.4396;14.9516;0.0000;14.9516;0.0000;1.0000,
2025-06-25T06:00:00.0/2025-06-25T07:00:00.0;429.0966;271.6940;190.1039;81.5902;578.7596;57.5870;0.0009;57.5860;0.0023;1.0000,
2025-06-25T07:00:00.0/2025-06-25T08:00:00.0;613.5844;423.2678;321.3768;101.8910;688.0760;108.8685;0.2370;108.6314;0.4677;1.0000,
2025-06-25T08:00:00.0/2025-06-25T09:00:00.0;784.9789;568.5131;451.1741;117.3390;756.4271;183.2899;5.8346;177.4553;10.0599;1.0000,
2025-06-25T09:00:00.0/2025-06-25T10:00:00.0;931.6003;694.5590;568.3826;126.1765;803.4496;157.2457;0.5816;156.6641;0.7885;1.0000,
2025-06-25T10:00:00.0/2025-06-25T11:00:00.0;1043.4559;791.3210;662.5789;128.7422;836.5161;210.9958;1.4025;209.5932;1.7720;1.0000,
2025-06-25T11:00:00.0/2025-06-25T12:00:00.0;1112.9214;851.1336;722.6911;128.4425;855.6042;450.4727;120.2481;330.2246;142.3774;1.0000,
2025-06-25T12:00:00.0/2025-06-25T13:00:00.0;1135.2611;868.0402;736.9984;131.0419;855.4136;589.4535;251.3654;338.0881;291.5147;1.0000,
2025-06-25T13:00:00.0/2025-06-25T14:00:00.0;1108.9503;840.8391;704.1572;136.6818;836.5915;384.4202;75.9065;308.5137;89.1110;1.0000,
2025-06-25T14:00:00.0/2025-06-25T15:00:00.0;1035.7799;772.7762;633.2659;139.5103;805.3069;370.7808;72.6236;298.1571;92.6494;1.0000,
2025-06-25T15:00:00.0/2025-06-25T16:00:00.0;920.7341;671.7051;537.3001;134.4051;768.4888;152.9570;4.8223;148.1347;7.2340;1.0000,
2025-06-25T16:00:00.0/2025-06-25T17:00:00.0;771.6505;545.2957;423.8618;121.4339;722.7622;147.3981;4.9872;142.4109;8.8091;1.0000,
2025-06-25T17:00:00.0/2025-06-25T18:00:00.0;598.6856;401.1667;296.7909;104.3758;650.9592;189.6239;38.2879;151.3360;80.4459;1.0000,
2025-06-25T18:00:00.0/2025-06-25T19:00:00.0;413.6227;251.5865;168.7645;82.8221;531.7969;118.7019;26.7032;91.9987;76.5280;1.0000,
2025-06-25T19:00:00.0/2025-06-25T20:00:00.0;229.0684;114.7165;61.2924;53.4241;336.9073;56.0468;1.1163;54.9304;6.6631;1.0000,
2025-06-25T20:00:00.0/2025-06-25T21:00:00.0;59.0358;20.2018;5.8388;14.3630;77.6532;10.8863;0.0096;10.8767;0.0972;0.7250,
2025-06-25T21:00:00.0/2025-06-25T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2025-06-25T22:00:00.0/2025-06-25T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2025-06-25T23:00:00.0/2025-06-26T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2025-06-26T00:00:00.0/2025-06-26T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2025-06-26T01:00:00.0/2025-06-26T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2025-06-26T02:00:00.0/2025-06-26T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2025-06-26T03:00:00.0/2025-06-26T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2025-06-26T04:00:00.0/2025-06-26T05:00:00.0;70.2493;24.2644;6.6691;17.5953;81.4871;3.1472;0.0000;3.1472;0.0000;0.6250,
2025-06-26T05:00:00.0/2025-06-26T06:00:00.0;242.8385;121.9200;61.0208;60.8992;317.5301;14.9743;0.0000;14.9743;0.0000;1.0000,
2025-06-26T06:00:00.0/2025-06-26T07:00:00.0;427.8515;261.0229;166.4866;94.5363;506.7977;112.9399;9.4494;103.4905;25.8202;1.0000,
2025-06-26T07:00:00.0/2025-06-26T08:00:00.0;612.3881;414.2837;298.5163;115.7674;639.6130;346.2585;174.1945;172.0641;366.9713;1.0000,
2025-06-26T08:00:00.0/2025-06-26T09:00:00.0;783.8738;563.7873;434.6261;129.1612;729.2758;474.3526;234.5465;239.8061;394.2797;1.0000,
2025-06-26T09:00:00.0/2025-06-26T10:00:00.0;930.6221;691.7249;551.6506;140.0743;780.6550;664.5478;494.3427;170.2051;695.1110;1.0000,
2025-06-26T10:00:00.0/2025-06-26T11:00:00.0;1042.6312;786.4962;635.8584;150.6378;803.4151;681.5706;427.1245;254.4461;543.9907;1.0000,
2025-06-26T11:00:00.0/2025-06-26T12:00:00.0;1112.2657;844.2189;685.7643;158.4545;812.3267;426.9137;86.3552;340.5586;101.7109;1.0000,
2025-06-26T12:00:00.0/2025-06-26T13:00:00.0;1134.7780;862.4778;700.3663;162.1115;813.1738;765.9153;510.5181;255.3973;592.6710;1.0000,
2025-06-26T13:00:00.0/2025-06-26T14:00:00.0;1108.6307;839.2701;677.7816;161.4885;805.4559;480.8583;207.7914;273.0669;243.8444;1.0000,
2025-06-26T14:00:00.0/2025-06-26T15:00:00.0;1035.6034;774.7131;616.9722;157.7410;784.7269;451.6313;153.1088;298.5225;198.2079;1.0000,
2025-06-26T15:00:00.0/2025-06-26T16:00:00.0;920.6699;673.7368;525.8735;147.8632;752.1026;248.9425;23.4285;225.5140;34.1039;1.0000,
2025-06-26T16:00:00.0/2025-06-26T17:00:00.0;771.6596;544.9100;413.5256;131.3844;705.0270;285.5903;42.1589;243.4313;71.1612;1.0000,
2025-06-26T17:00:00.0/2025-06-26T18:00:00.0;598.7236;399.3369;288.4648;110.8721;632.5368;124.1647;7.6942;116.4706;15.5108;1.0000,
2025-06-26T18:00:00.0/2025-06-26T19:00:00.0;413.6428;248.9836;161.0222;87.9614;506.5236;41.2878;0.0012;41.2867;0.0045;1.0000,
2025-06-26T19:00:00.0/2025-06-26T20:00:00.0;229.0248;111.7590;54.6735;57.0856;298.2664;46.3269;0.7846;45.5424;4.3035;1.0000,
2025-06-26T20:00:00.0/2025-06-26T21:00:00.0;58.9174;19.2941;4.4412;14.8529;58.2016;2.4487;0.0000;2.4487;0.0000;0.7250,
2025-06-26T21:00:00.0/2025-06-26T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2025-06-26T22:00:00.0/2025-06-26T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2025-06-26T23:00:00.0/2025-06-27T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2025-06-27T00:00:00.0/2025-06-27T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2025-06-27T01:00:00.0/2025-06-27T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2025-06-27T02:00:00.0/2025-06-27T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2025-06-27T03:00:00.0/2025-06-27T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2025-06-27T04:00:00.0/2025-06-27T05:00:00.0;68.9956;24.9623;8.8249;16.1374;108.9112;19.7106;1.4795;18.2311;18.3748;0.6333,
2025-06-27T05:00:00.0/2025-06-27T06:00:00.0;241.4752;126.2467;76.1197;50.1270;399.9846;18.8305;0.4485;18.3820;3.6130;1.0000,
2025-06-27T06:00:00.0/2025-06-27T07:00:00.0;426.5023;263.5385;187.8017;75.7368;575.9189;30.7085;0.0000;30.7085;0.0000;1.0000,
2025-06-27T07:00:00.0/2025-06-27T08:00:00.0;611.0987;409.2845;309.1122;100.1724;664.7541;77.2969;0.0104;77.2864;0.0201;1.0000,
2025-06-27T08:00:00.0/2025-06-27T09:00:00.0;782.6851;549.1395;426.6951;122.4445;717.5474;220.0085;9.9270;210.0816;15.6678;1.0000,
2025-06-27T09:00:00.0/2025-06-27T10:00:00.0;929.5679;670.1223;526.5963;143.5260;746.1221;309.8760;26.0107;283.8653;36.8642;1.0000,
2025-06-27T10:00:00.0/2025-06-27T11:00:00.0;1041.7356;762.3145;599.2134;163.1010;757.7662;372.1223;41.1877;330.9346;51.7735;1.0000,
2025-06-27T11:00:00.0/2025-06-27T12:00:00.0;1111.5414;818.7144;639.4564;179.2580;757.9395;346.8349;31.2501;315.5848;36.8673;1.0000,
2025-06-27T12:00:00.0/2025-06-27T13:00:00.0;1134.2253;836.0331;650.1457;185.8874;755.1751;497.6962;123.2661;374.4301;143.1293;1.0000,
2025-06-27T13:00:00.0/2025-06-27T14:00:00.0;1108.2380;812.6842;630.2385;182.4458;749.1679;208.5079;3.3286;205.1793;3.9173;1.0000,
2025-06-27T14:00:00.0/2025-06-27T15:00:00.0;1035.3474;749.0197;573.6235;175.3961;729.7115;338.8564;100.6419;238.2145;131.7278;1.0000,
2025-06-27T15:00:00.0/2025-06-27T16:00:00.0;920.5175;651.3131;488.5399;162.7732;698.7620;142.7242;23.5727;119.1515;31.8047;1.0000,
2025-06-27T16:00:00.0/2025-06-27T17:00:00.0;771.5702;527.2417;382.7649;144.4768;652.5359;152.5484;7.8367;144.7117;14.2745;1.0000,
2025-06-27T17:00:00.0/2025-06-27T18:00:00.0;598.6518;385.8093;264.2426;121.5667;579.2147;165.8370;10.3287;155.5083;20.9255;1.0000,
2025-06-27T18:00:00.0/2025-06-27T19:00:00.0;413.5417;240.7112;148.2690;92.4422;467.2138;35.6687;0.0002;35.6685;0.0005;1.0000,
2025-06-27T19:00:00.0/2025-06-27T20:00:00.0;228.8493;109.6336;53.8049;55.8287;295.9210;35.1875;0.0335;35.1540;0.1912;1.0000,
2025-06-27T20:00:00.0/2025-06-27T21:00:00.0;58.6793;19.3298;5.0632;14.2666;67.3617;4.0232;0.0007;4.0225;0.0069;0.7250,
2025-06-27T21:00:00.0/2025-06-27T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2025-06-27T22:00:00.0/2025-06-27T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2025-06-27T23:00:00.0/2025-06-28T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2025-06-28T00:00:00.0/2025-06-28T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2025-06-28T01:00:00.0/2025-06-28T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2025-06-28T02:00:00.0/2025-06-28T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2025-06-28T03:00:00.0/2025-06-28T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2025-06-28T04:00:00.0/2025-06-28T05:00:00.0;67.6590;24.0930;8.0154;16.0776;99.2243;3.1474;0.0000;3.1474;0.0000;0.6333,
2025-06-28T05:00:00.0/2025-06-28T06:00:00.0;239.9978;124.6331;74.4889;50.1443;392.5920;54.0726;9.6664;44.4062;43.4063;1.0000,
2025-06-28T06:00:00.0/2025-06-28T07:00:00.0;425.0506;262.2863;189.1376;73.1487;581.5695;162.3492;35.3124;127.0368;103.7719;1.0000,
2025-06-28T07:00:00.0/2025-06-28T08:00:00.0;609.7175;408.5933;315.8714;92.7219;680.5923;221.8604;26.8687;194.9917;56.5495;1.0000,
2025-06-28T08:00:00.0/2025-06-28T09:00:00.0;781.4141;549.2806;440.5208;108.7598;741.8385;323.2279;76.1958;247.0321;131.8602;1.0000,
2025-06-28T09:00:00.0/2025-06-28T10:00:00.0;928.4387;672.5524;551.6033;120.9492;782.2775;323.2574;33.3979;289.8595;47.0160;1.0000,
2025-06-28T10:00:00.0/2025-06-28T11:00:00.0;1040.7697;768.1617;638.7032;129.4585;808.3101;387.7724;52.7128;335.0596;67.0191;1.0000,
2025-06-28T11:00:00.0/2025-06-28T12:00:00.0;1110.7487;827.8856;692.3066;135.5790;821.0668;401.6751;52.0099;349.6652;61.8389;1.0000,
2025-06-28T12:00:00.0/2025-06-28T13:00:00.0;1133.6031;846.2840;704.5712;141.7128;818.7871;388.5075;38.6466;349.8610;44.9113;1.0000,
2025-06-28T13:00:00.0/2025-06-28T14:00:00.0;1107.7719;821.9060;674.1849;147.7211;801.6561;326.9294;20.0548;306.8746;23.6804;1.0000,
2025-06-28T14:00:00.0/2025-06-28T15:00:00.0;1035.0112;757.3137;606.6081;150.7057;771.8049;157.3883;0.1563;157.2320;0.1942;1.0000,
2025-06-28T15:00:00.0/2025-06-28T16:00:00.0;920.2761;659.0347;515.7237;143.3110;737.8710;109.3605;0.0162;109.3444;0.0243;1.0000,
2025-06-28T16:00:00.0/2025-06-28T17:00:00.0;771.3812;534.8342;408.8346;125.9995;697.2902;116.6611;0.0175;116.6437;0.0293;1.0000,
2025-06-28T17:00:00.0/2025-06-28T18:00:00.0;598.4691;393.1781;287.8912;105.2869;631.6316;54.1123;0.0017;54.1105;0.0044;1.0000,
2025-06-28T18:00:00.0/2025-06-28T19:00:00.0;413.3184;246.3641;163.8306;82.5334;516.3538;131.0012;22.8701;108.1311;74.2829;1.0000,
2025-06-28T19:00:00.0/2025-06-28T20:00:00.0;228.5407;111.7118;58.4078;53.3040;320.9088;62.6495;6.5930;56.0565;49.7793;1.0000,
2025-06-28T20:00:00.0/2025-06-28T21:00:00.0;58.3208;19.3298;5.2221;14.1077;69.3762;16.5963;2.0657;14.5306;24.3170;0.7250,
2025-06-28T21:00:00.0/2025-06-28T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2025-06-28T22:00:00.0/2025-06-28T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2025-06-28T23:00:00.0/2025-06-29T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2025-06-29T00:00:00.0/2025-06-29T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2025-06-29T01:00:00.0/2025-06-29T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2025-06-29T02:00:00.0/2025-06-29T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2025-06-29T03:00:00.0/2025-06-29T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2025-06-29T04:00:00.0/2025-06-29T05:00:00.0;66.2073;22.8676;6.4357;16.4319;80.7231;3.0007;0.0000;3.0007;0.0000;0.6417,
2025-06-29T05:00:00.0/2025-06-29T06:00:00.0;238.4081;119.3638;61.7499;57.6139;326.8939;35.3331;0.3090;35.0241;1.3109;1.0000,
2025-06-29T06:00:00.0/2025-06-29T07:00:00.0;423.4979;256.1256;165.6956;90.4299;510.1153;129.4888;5.2561;124.2327;15.3253;1.0000,
2025-06-29T07:00:00.0/2025-06-29T08:00:00.0;608.2458;404.8708;289.7365;115.1344;625.2430;247.1394;58.8589;188.2805;120.1337;1.0000,
2025-06-29T08:00:00.0/2025-06-29T09:00:00.0;780.0618;547.9072;414.3282;133.5790;698.6741;282.3484;42.1136;240.2347;74.6922;1.0000,
2025-06-29T09:00:00.0/2025-06-29T10:00:00.0;927.2353;672.2954;521.9099;150.3856;741.1253;316.4159;50.3189;266.0970;68.7025;1.0000,
2025-06-29T10:00:00.0/2025-06-29T11:00:00.0;1039.7341;767.9071;601.5314;166.3758;762.0142;474.9086;125.4707;349.4379;159.9383;1.0000,
2025-06-29T11:00:00.0/2025-06-29T12:00:00.0;1109.8878;827.1953;647.7394;179.4559;768.7849;625.1205;280.4504;344.6701;331.4333;1.0000,
2025-06-29T12:00:00.0/2025-06-29T13:00:00.0;1132.9116;846.5773;665.1122;181.4650;773.3624;693.7154;363.9711;329.7443;423.0479;1.0000,
2025-06-29T13:00:00.0/2025-06-29T14:00:00.0;1107.2318;824.5260;652.2828;172.2432;776.0186;414.9446;69.1204;345.8242;81.8103;1.0000,
2025-06-29T14:00:00.0/2025-06-29T15:00:00.0;1034.5942;761.7459;601.6630;160.0829;765.9339;260.5203;10.8703;249.6500;13.8533;1.0000,
2025-06-29T15:00:00.0/2025-06-29T16:00:00.0;919.9447;663.7639;518.4833;145.2805;742.0339;123.5012;9.3291;114.1721;14.1814;1.0000,
2025-06-29T16:00:00.0/2025-06-29T17:00:00.0;771.0917;538.3109;410.2174;128.0935;699.8421;303.7962;107.3134;196.4828;195.5817;1.0000,
2025-06-29T17:00:00.0/2025-06-29T18:00:00.0;598.1746;395.3692;287.9011;107.4681;631.8611;395.3692;287.9011;107.4681;631.8611;1.0000,
2025-06-29T18:00:00.0/2025-06-29T19:00:00.0;412.9718;248.6574;166.3217;82.3357;525.5151;248.6574;166.3217;82.3357;525.5151;1.0000,
2025-06-29T19:00:00.0/2025-06-29T20:00:00.0;228.0984;114.7029;63.2186;51.4843;350.2840;114.7029;63.2186;51.4843;350.2840;1.0000,
2025-06-29T20:00:00.0/2025-06-29T21:00:00.0;57.8413;20.1665;6.3324;13.8341;85.2978;20.1665;6.3324;13.8341;85.2978;0.7250,
2025-06-29T21:00:00.0/2025-06-29T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2025-06-29T22:00:00.0/2025-06-29T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2025-06-29T23:00:00.0/2025-06-30T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2025-06-30T00:00:00.0/2025-06-30T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2025-06-30T01:00:00.0/2025-06-30T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2025-06-30T02:00:00.0/2025-06-30T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2025-06-30T03:00:00.0/2025-06-30T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2025-06-30T04:00:00.0/2025-06-30T05:00:00.0;64.6580;23.0968;7.7021;15.3947;98.3362;23.0968;7.7021;15.3947;98.3362;0.5583,
2025-06-30T05:00:00.0/2025-06-30T06:00:00.0;236.7075;122.3752;71.1766;51.1987;380.5252;122.3752;71.1766;51.1987;380.5252;0.9667,
2025-06-30T06:00:00.0/2025-06-30T07:00:00.0;421.8457;260.1108;182.7553;77.3555;565.7499;260.1108;182.7553;77.3555;565.7499;1.0000,
2025-06-30T07:00:00.0/2025-06-30T08:00:00.0;606.6853;408.0647;309.8245;98.2402;670.6638;317.3606;158.8759;158.4847;360.9424;1.0000,
2025-06-30T08:00:00.0/2025-06-30T09:00:00.0;778.6295;550.6387;435.7398;114.8989;736.2610;169.8531;3.3759;166.4772;5.8464;1.0000,
2025-06-30T09:00:00.0/2025-06-30T10:00:00.0;925.9587;672.7582;538.3333;134.4249;765.7062;218.4070;5.5810;212.8260;8.0848;1.0000,
2025-06-30T10:00:00.0/2025-06-30T11:00:00.0;1038.6295;764.3306;606.8427;157.4879;769.6285;310.1702;16.2077;293.9625;20.2658;1.0000,
2025-06-30T11:00:00.0/2025-06-30T12:00:00.0;1108.9592;819.8781;642.4452;177.4328;763.1501;392.8775;41.5045;351.3730;49.1264;1.0000,
2025-06-30T12:00:00.0/2025-06-30T13:00:00.0;1132.1504;837.6425;653.1732;184.4693;759.9557;388.4331;36.2088;352.2243;42.1314;1.0000,
2025-06-30T13:00:00.0/2025-06-30T14:00:00.0;1106.6176;816.0174;638.1755;177.8419;759.6103;366.8748;37.9375;328.9373;44.9918;1.0000,
2025-06-30T14:00:00.0/2025-06-30T15:00:00.0;1034.0958;753.7290;585.9167;167.8122;746.1831;258.1750;12.0254;246.1496;14.9527;1.0000,
2025-06-30T15:00:00.0/2025-06-30T16:00:00.0;919.5225;655.9247;501.5793;154.3454;718.0734;152.4384;0.1153;152.3231;0.1655;1.0000,
2025-06-30T16:00:00.0/2025-06-30T17:00:00.0;770.7008;530.3870;393.1815;137.2055;670.9528;194.2831;4.3543;189.9287;7.5332;1.0000,
2025-06-30T17:00:00.0/2025-06-30T18:00:00.0;597.7672;387.6227;271.8612;115.7615;596.7457;181.6480;21.2432;160.4048;43.6860;1.0000,
2025-06-30T18:00:00.0/2025-06-30T19:00:00.0;412.5011;242.6787;155.8050;86.8737;492.9868;166.9154;29.2848;137.6306;91.2386;1.0000,
2025-06-30T19:00:00.0/2025-06-30T20:00:00.0;227.5215;111.9488;60.0539;51.8949;334.1694;36.4584;2.7414;33.7170;14.9397;1.0000,
2025-06-30T20:00:00.0/2025-06-30T21:00:00.0;57.2316;19.7243;6.2546;13.4697;85.4439;2.4954;0.0000;2.4954;0.0000;0.7333,
2025-06-30T21:00:00.0/2025-06-30T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2025-06-30T22:00:00.0/2025-06-30T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2025-06-30T23:00:00.0/2025-07-01T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2025-07-01T00:00:00.0/2025-07-01T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2025-07-01T01:00:00.0/2025-07-01T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2025-07-01T02:00:00.0/2025-07-01T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2025-07-01T03:00:00.0/2025-07-01T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2025-07-01T04:00:00.0/2025-07-01T05:00:00.0;63.0470;22.9476;7.7384;15.2092;100.1864;6.4768;0.0000;6.4768;0.0000;0.5583,
2025-07-01T05:00:00.0/2025-07-01T06:00:00.0;234.8976;123.7113;71.4298;52.2815;384.9565;21.5483;0.0000;21.5483;0.0000;0.9667,
2025-07-01T06:00:00.0/2025-07-01T07:00:00.0;420.0955;264.7694;184.5895;80.1799;573.5334;73.8612;0.0465;73.8147;0.1245;1.0000,
2025-07-01T07:00:00.0/2025-07-01T08:00:00.0;605.0372;417.3045;315.7790;101.5256;685.2866;177.4361;10.4740;166.9621;20.9967;1.0000,
2025-07-01T08:00:00.0/2025-07-01T09:00:00.0;777.1184;564.4080;446.3370;118.0710;755.5589;320.9746;45.0293;275.9452;76.7043;1.0000,
2025-07-01T09:00:00.0/2025-07-01T10:00:00.0;924.6099;691.4066;558.2748;133.1317;795.0149;326.3293;33.0653;293.2639;46.6353;1.0000,
2025-07-01T10:00:00.0/2025-07-01T11:00:00.0;1037.4564;787.6912;639.9026;147.7885;812.3640;435.0429;65.1104;369.9325;82.7921;1.0000,
2025-07-01T11:00:00.0/2025-07-01T12:00:00.0;1107.9630;846.8555;687.1689;159.6867;816.9361;354.2820;23.8068;330.4752;28.4620;1.0000,
2025-07-01T12:00:00.0/2025-07-01T13:00:00.0;1131.3196;866.2477;703.2647;162.9830;818.8079;242.5495;1.8682;240.6812;2.1757;1.0000,
2025-07-01T13:00:00.0/2025-07-01T14:00:00.0;1105.9287;844.2927;686.1458;158.1469;817.1873;286.1158;5.8002;280.3157;6.9032;1.0000,
2025-07-01T14:00:00.0/2025-07-01T15:00:00.0;1033.5153;780.6919;630.5862;150.1056;803.5070;270.8303;6.4726;264.3577;8.2848;1.0000,
2025-07-01T15:00:00.0/2025-07-01T16:00:00.0;919.0089;680.9910;542.4600;138.5310;777.0832;423.4862;142.3934;281.0928;209.4207;1.0000,
